subjectId,choice,embedSignal,centeredVolume,blockBias
HAEB38,0,0,-1.0,0.5
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,1,1,0.689580340155988,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,1,1,0.6086568330039752,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,1,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,1,0.5459526093026501,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,1,1,0.2147190245585525,0.3
HAEB38,1,1,0.7541207258925833,0.3
HAEB38,1,1,0.5606454632282729,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,1,1,0.538195781863476,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,1,1,0.4355459036326504,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,1,1,0.9401352880008368,0.5
HAEB38,0,0,-1.0,0.5
HAEB38,1,1,0.4789000443911685,0.5
HAEB38,0,0,-1.0,0.5
HAEB38,1,1,0.3649971411755333,0.5
HAEB38,0,0,-1.0,0.5
HAEB38,0,1,0.254173264731991,0.5
HAEB38,0,0,-1.0,0.5
HAEB38,0,0,-1.0,0.7
HAEB38,0,1,0.5471290778861769,0.7
HAEB38,1,1,0.5316709923161103,0.7
HAEB38,0,0,-1.0,0.7
HAEB38,1,1,0.9257938019503528,0.7
HAEB38,1,1,0.7224936556219442,0.7
HAEB38,0,0,-1.0,0.7
HAEB38,1,1,0.6378854397140078,0.7
HAEB38,1,1,0.2628384263805449,0.7
HAEB38,1,0,-1.0,0.7
HAEB38,0,0,-1.0,0.7
HAEB38,0,0,-1.0,0.7
HAEB38,1,1,0.600262367938849,0.7
HAEB38,0,0,-1.0,0.7
HAEB38,0,0,-1.0,0.7
HAEB38,1,1,0.2862645220608714,0.7
HAEB38,0,0,-1.0,0.7
HAEB38,1,1,1.0,0.7
HAEB38,0,0,-1.0,0.7
HAEB38,1,1,0.1709522818932292,0.7
HAEB38,1,1,0.9218862095748892,0.7
HAEB38,1,1,0.9253685090956756,0.7
HAEB38,0,0,-1.0,0.7
HAEB38,0,0,-1.0,0.5
HAEB38,1,1,0.5703077649348646,0.5
HAEB38,0,0,-1.0,0.5
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,1,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,1,-0.0008724750285978,0.3
HAEB38,0,1,-0.4170545762355975,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,1,1,-0.4612166371362055,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,1,1,1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,1,0.327696567508741,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,1,0.3560657356694277,0.3
HAEB38,0,1,0.6691943987189494,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,1,-0.3599836176237778,0.3
HAEB38,0,1,-0.1253646344169521,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,1,1,-0.4004562200465232,0.3
HAEB38,0,1,-0.4412836338068094,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,1,1,-0.3935775963239737,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,1,0.8837933891644961,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,1,1,-0.3821016234621204,0.3
HAEB38,0,1,0.5098148139838514,0.3
HAEB38,0,1,-0.5156526133188596,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,1,0.5370274531645586,0.3
HAEB38,0,1,0.5491866100303052,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,1,1,0.4806298517096583,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,1,1,0.6997765342540438,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,1,1,-0.494352258689726,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,1,0.2115966523114254,0.3
HAEB38,1,1,-0.0938694321387335,0.3
HAEB38,0,1,-0.5734316660470506,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,1,-0.0219995785459801,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,1,0.7534155672779909,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,1,-0.306884043868025,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,1,1,0.1120554153284216,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,1,-0.551162864929806,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,1,1,0.2655458171392812,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,1,0.0671589402600117,0.3
HAEB38,0,1,0.0789012655750077,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,1,0.3075158698474736,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,1,1,0.6606195103793152,0.3
HAEB38,1,0,-1.0,0.5
HAEB38,1,0,-1.0,0.3
HAEB38,1,1,-0.2776747101722969,0.3
HAEB38,1,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,0,1,0.5241010683735977,0.3
HAEB38,1,0,-1.0,0.3
HAEB38,1,0,-1.0,0.3
HAEB38,1,1,-0.3433465981430018,0.3
HAEB38,1,0,-1.0,0.3
HAEB38,1,1,0.1264922886106443,0.3
HAEB38,1,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,1,0,-1.0,0.3
HAEB38,1,0,-1.0,0.3
HAEB38,1,0,-1.0,0.3
HAEB38,1,1,0.3597887573558784,0.3
HAEB38,1,1,-0.0008318798242991,0.3
HAEB38,1,0,-1.0,0.3
HAEB38,1,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,1,0,-1.0,0.3
HAEB38,1,0,-1.0,0.3
HAEB38,1,1,0.9243351159106988,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,1,0,-1.0,0.3
HAEB38,1,1,0.9607656201760478,0.3
HAEB38,1,0,-1.0,0.3
HAEB38,0,0,-1.0,0.3
HAEB38,1,0,-1.0,0.3
HAEB38,1,1,0.9284295014717756,0.3
HAEB38,1,0,-1.0,0.3
HAEB38,1,0,-1.0,0.3
HAEB38,1,0,-1.0,0.3
HAEB38,1,0,-1.0,0.3
HAEB38,1,0,-1.0,0.3
HAEB38,1,1,0.9873588057034114,0.3
HAEB38,1,0,-1.0,0.3
HAEB38,1,0,-1.0,0.144927536231884
HAEB38,1,0,-1.0,0.142857142857143
HAEB38,0,0,-1.0,0.140845070422535
HAEB38,1,0,-1.0,0.150684931506849
HAEB38,1,0,-1.0,0.148648648648649
HAEB38,1,0,-1.0,0.146666666666667
HAEB38,0,0,-1.0,0.142857142857143
HAEB38,1,0,-1.0,0.153846153846154
HAEB38,0,0,-1.0,0.151898734177215
HAEB38,1,1,0.9951956917494548,0.1625
HAEB38,0,0,-1.0,0.160493827160494
HAEB38,0,0,-1.0,0.170731707317073
HAEB38,0,0,-1.0,0.180722891566265
HAEB38,0,0,-1.0,0.19047619047619
HAEB38,0,0,-1.0,0.209302325581395
HAEB38,1,1,0.982636192285238,0.244444444444444
HAEB38,0,0,-1.0,0.25
HAEB38,1,0,-1.0,0.273684210526316
HAEB38,0,0,-1.0,0.270833333333333
HAEB38,0,0,-1.0,0.278350515463918
HAEB38,0,0,-1.0,0.285714285714286
